TRDTYPE,USASTATE,DEPE,DISAGMOT,MEXSTATE,CANPROV,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,CONTCODE,MONTH,YEAR
1,AK,0712,5,,XC,1220,4647,0,115,1,X,01,2015
1,AK,0712,5,,XQ,1220,96892,0,960,1,X,01,2015
1,AK,0901,5,,XM,1220,4607,0,164,2,X,01,2015
1,AK,0901,5,,XO,1220,2549,0,49,1,X,01,2015
1,AK,09XX,3,,XA,1220,4879,10,82,2,X,01,2015
1,AK,20XX,3,,XA,1220,70973,500,1863,1,X,01,2015
1,AK,20XX,3,,XC,1220,11748,178,176,1,X,01,2015
1,AK,20XX,3,,XO,1220,2851,57,82,1,X,01,2015
1,AK,20XX,3,,XQ,1220,83443,153,1666,1,X,01,2015
1,AK,20XX,3,,XQ,1220,67982,142,920,2,X,01,2015
1,AK,2304,5,DF,,2010,678591,0,0,2,0,01,2015
1,AK,2304,5,MX,,2010,32895,0,0,1,0,01,2015
1,AK,2304,5,SL,,2010,779563,0,0,1,0,01,2015
1,AK,2304,5,SL,,2010,45617,0,0,2,0,01,2015
1,AK,2305,5,TM,,2010,5352,0,0,1,0,01,2015
1,AK,2402,3,XX,,2010,8840,4,0,2,0,01,2015
1,AK,2604,5,SO,,2010,93951,0,0,1,0,01,2015
1,AK,3004,5,,XC,1220,821397,0,18389,1,X,01,2015
1,AK,3004,5,,XC,1220,20997,0,466,2,X,01,2015
1,AK,3004,5,,XY,1220,12161,0,362,1,X,01,2015
1,AK,3004,5,,XY,1220,14136,0,420,2,X,01,2015
1,AK,3009,5,,XC,1220,6984,0,349,1,X,01,2015
1,AK,3023,5,,XC,1220,85738,0,151,1,X,01,2015
1,AK,30XX,1,XX,,2010,161590,116280,0,1,0,01,2015
1,AK,3102,8,,XC,1220,55543,0,397,1,X,01,2015
1,AK,3103,5,,XC,1220,1927225,0,185965,1,X,01,2015
1,AK,3104,5,,XY,1220,1123506,0,99751,1,X,01,2015
1,AK,3104,5,,XY,1220,11126,0,179,2,X,01,2015
1,AK,3106,5,,XC,1220,1803474,0,167671,1,X,01,2015
1,AK,3126,5,,XY,1220,678647,0,19275,1,X,01,2015
1,AK,31XX,1,,XC,1220,14536657,1686386,82492,1,X,01,2015
1,AK,31XX,3,,XC,1220,70689,3508,1415,1,X,01,2015
1,AK,31XX,3,XX,,2010,3130,57,0,2,0,01,2015
1,AK,33XX,3,,XC,1220,19615,16,429,1,X,01,2015
1,AK,3401,5,,XM,1220,8290,0,162,2,X,01,2015
1,AK,3401,5,,XY,1220,5134,0,206,1,X,01,2015
1,AK,3501,3,,XM,1220,2751,22,52,1,X,01,2015
1,AK,3801,5,,XO,1220,132820,0,235,1,X,01,2015
1,AK,3801,5,,XO,1220,105984,0,715,2,X,01,2015
1,AK,3802,5,,XO,1220,170697,0,5035,1,X,01,2015
1,AK,4101,3,,XO,1220,117449,23,409,1,X,01,2015
1,AK,4101,3,,XO,1220,25536,80,189,2,X,01,2015
1,AK,4101,3,,XQ,1220,7925,5,247,1,X,01,2015
1,AK,4101,3,,XQ,1220,54289,390,446,2,X,01,2015
1,AK,4102,3,,XC,1220,9643,63,182,1,X,01,2015
1,AK,4102,3,,XO,1220,29622,137,145,1,X,01,2015
1,AK,70XX,5,,XC,1220,18115,0,638,1,X,01,2015
1,AK,70XX,8,,XA,1220,4850,0,119,1,X,01,2015
1,AK,70XX,8,,XA,1220,1763,0,14,2,X,01,2015
1,AK,70XX,8,,XC,1220,2948,0,30,1,X,01,2015
1,AK,70XX,8,,XC,1220,2351,0,22,2,X,01,2015
1,AK,70XX,8,,XQ,1220,3862,0,89,1,X,01,2015
1,AK,70XX,8,,XQ,1220,199,0,5,2,X,01,2015
1,AL,0106,5,,XB,1220,155695,0,8296,1,X,01,2015
1,AL,0109,5,,XB,1220,8613,0,409,1,X,01,2015
1,AL,0115,5,,XB,1220,424706,0,19209,1,X,01,2015
1,AL,0115,5,,XB,1220,33114,0,1364,2,X,01,2015
1,AL,0115,5,,XN,1220,6679,0,726,2,X,01,2015
1,AL,0209,5,,XQ,1220,15483,0,530,1,X,01,2015
1,AL,0209,5,,XQ,1220,9809,0,67,2,X,01,2015
1,AL,0212,5,,XQ,1220,3695,0,164,2,X,01,2015
1,AL,0701,5,,XO,1220,125467,0,2854,1,X,01,2015
1,AL,0708,5,,XO,1220,2701800,0,56747,1,X,01,2015
1,AL,0708,5,,XO,1220,6308,0,99,2,X,01,2015
1,AL,0708,5,,XQ,1220,8039,0,412,1,X,01,2015
1,AL,0712,5,,XC,1220,10929,0,319,1,X,01,2015
1,AL,0712,5,,XM,1220,3018,0,148,1,X,01,2015
1,AL,0712,5,,XO,1220,67760,0,4214,1,X,01,2015
1,AL,0712,5,,XQ,1220,3625018,0,122743,1,X,01,2015
1,AL,0712,5,,XQ,1220,260802,0,7854,2,X,01,2015
1,AL,0712,6,,XQ,1220,62912,0,3712,1,X,01,2015
1,AL,0712,8,,XQ,1220,267426,0,10891,1,X,01,2015
1,AL,07XX,3,,XC,1220,11696,97,321,1,X,01,2015
1,AL,07XX,3,,XO,1220,51139,482,245,1,X,01,2015
1,AL,0901,5,,XA,1220,22111,0,1052,1,X,01,2015
1,AL,0901,5,,XB,1220,51800,0,3897,1,X,01,2015
1,AL,0901,5,,XM,1220,76276,0,1499,1,X,01,2015
1,AL,0901,5,,XO,1220,30168135,0,398581,1,X,01,2015
1,AL,0901,5,,XO,1220,1110133,0,27077,2,X,01,2015
1,AL,0901,5,,XQ,1220,66220,0,1989,1,X,01,2015
1,AL,0901,5,,XQ,1220,34180,0,501,2,X,01,2015
1,AL,0901,5,,XS,1220,78745,0,4274,1,X,01,2015
1,AL,0901,6,,XO,1220,29037690,0,248650,1,X,01,2015
1,AL,09XX,3,,XA,1220,4873,167,241,1,X,01,2015
1,AL,09XX,3,,XO,1220,156511,38107,4779,1,X,01,2015
1,AL,17XX,1,XX,,2010,14900,20363,0,1,1,01,2015
1,AL,17XX,3,XX,,2010,93762,208,0,1,0,01,2015
1,AL,18XX,1,XX,,2010,1214885,1320172,0,1,0,01,2015
1,AL,18XX,1,XX,,2010,971707,617063,0,1,1,01,2015
1,AL,19XX,1,XX,,2010,108977902,66587255,0,1,0,01,2015
1,AL,19XX,1,XX,,2010,445532,1423183,0,1,1,01,2015
1,AL,19XX,3,XX,,2010,6704,21,0,1,0,01,2015
1,AL,2006,3,,XM,1220,18365,203,97,2,X,01,2015
1,AL,2006,3,,XO,1220,3961,111,206,1,X,01,2015
1,AL,20XX,1,XX,,2010,2691515,10459054,0,1,0,01,2015
1,AL,20XX,3,,XA,1220,670861,6018,11202,1,X,01,2015
1,AL,20XX,3,,XA,1220,88549,186,1883,2,X,01,2015
1,AL,20XX,3,,XC,1220,79059,148,2090,1,X,01,2015
1,AL,20XX,3,,XC,1220,29032,164,700,2,X,01,2015
1,AL,20XX,3,,XM,1220,22804,809,311,1,X,01,2015
1,AL,20XX,3,,XM,1220,13665,7,163,2,X,01,2015
1,AL,20XX,3,,XO,1220,353360,7366,6328,1,X,01,2015
1,AL,20XX,3,,XO,1220,79092,2474,1415,2,X,01,2015
1,AL,20XX,3,,XQ,1220,1320922,23015,10256,1,X,01,2015
1,AL,20XX,3,,XQ,1220,665536,1460,3113,2,X,01,2015
1,AL,20XX,3,XX,,2010,761671,2311,0,1,0,01,2015
1,AL,20XX,3,XX,,2010,62129,898,0,2,0,01,2015
1,AL,20XX,8,,XO,1220,20070,0,82,1,X,01,2015
1,AL,20XX,8,,XQ,1220,107699,0,1242,1,X,01,2015
1,AL,2301,5,CO,,2010,21000,0,0,2,0,01,2015
1,AL,2301,5,DF,,2010,24658,0,0,1,0,01,2015
1,AL,2301,5,DF,,2010,50167,0,0,2,0,01,2015
1,AL,2301,5,MX,,2010,103968,0,0,1,0,01,2015
1,AL,2301,5,NL,,2010,127222,0,0,1,0,01,2015
1,AL,2301,5,PU,,2010,185135,0,0,1,0,01,2015
1,AL,2301,5,TM,,2010,15000,0,0,1,0,01,2015
1,AL,2301,5,VE,,2010,4989,0,0,1,0,01,2015
1,AL,2301,6,PU,,2010,28718,0,0,1,0,01,2015
1,AL,2301,6,TM,,2010,67920,0,0,1,1,01,2015
1,AL,2301,8,TM,,2010,17500,0,0,1,X,01,2015
1,AL,2303,5,CO,,2010,313927,0,0,1,0,01,2015
1,AL,2303,5,CO,,2010,36437,0,0,2,0,01,2015
1,AL,2303,5,DF,,2010,43696,0,0,1,0,01,2015
1,AL,2303,5,DG,,2010,104670,0,0,1,0,01,2015
1,AL,2303,5,GT,,2010,115110,0,0,1,0,01,2015
1,AL,2303,5,JA,,2010,484547,0,0,1,0,01,2015
1,AL,2303,5,SL,,2010,38137,0,0,1,0,01,2015
1,AL,2303,6,CO,,2010,1042564,0,0,1,0,01,2015
1,AL,2303,6,DF,,2010,55809,0,0,1,0,01,2015
1,AL,2303,6,GT,,2010,85918,0,0,1,0,01,2015
1,AL,2303,6,JA,,2010,577988,0,0,1,0,01,2015
1,AL,2303,6,MX,,2010,2822773,0,0,1,0,01,2015
1,AL,2303,6,SL,,2010,281634,0,0,1,0,01,2015
1,AL,2303,6,ZA,,2010,3846338,0,0,1,0,01,2015
1,AL,2304,5,AG,,2010,385377,0,0,1,0,01,2015
1,AL,2304,5,AG,,2010,3879,0,0,2,0,01,2015
1,AL,2304,5,BS,,2010,37568,0,0,1,0,01,2015
1,AL,2304,5,CH,,2010,166941,0,0,1,0,01,2015
1,AL,2304,5,CH,,2010,22664,0,0,2,0,01,2015
1,AL,2304,5,CM,,2010,177279,0,0,1,0,01,2015
1,AL,2304,5,CO,,2010,2384019,0,0,1,0,01,2015
1,AL,2304,5,CO,,2010,61817,0,0,2,0,01,2015
1,AL,2304,5,DF,,2010,13972648,0,0,1,0,01,2015
1,AL,2304,5,DF,,2010,331936,0,0,1,1,01,2015
1,AL,2304,5,DF,,2010,109063,0,0,2,0,01,2015
1,AL,2304,5,DF,,2010,102687,0,0,2,1,01,2015
1,AL,2304,5,DG,,2010,107232,0,0,1,0,01,2015
1,AL,2304,5,DG,,2010,5248,0,0,2,0,01,2015
1,AL,2304,5,GT,,2010,1016871,0,0,1,0,01,2015
1,AL,2304,5,GT,,2010,91193,0,0,2,0,01,2015
1,AL,2304,5,HG,,2010,25273,0,0,1,0,01,2015
1,AL,2304,5,JA,,2010,1014809,0,0,1,0,01,2015
1,AL,2304,5,JA,,2010,44255,0,0,2,0,01,2015
1,AL,2304,5,MI,,2010,194047,0,0,1,0,01,2015
1,AL,2304,5,MO,,2010,69470,0,0,1,0,01,2015
1,AL,2304,5,MX,,2010,4554330,0,0,1,0,01,2015
1,AL,2304,5,MX,,2010,105644,0,0,2,0,01,2015
1,AL,2304,5,NL,,2010,13889585,0,0,1,0,01,2015
1,AL,2304,5,NL,,2010,283791,0,0,1,1,01,2015
1,AL,2304,5,NL,,2010,710726,0,0,2,0,01,2015
1,AL,2304,5,OT,,2010,113229,0,0,1,0,01,2015
1,AL,2304,5,PU,,2010,3707049,0,0,1,0,01,2015
1,AL,2304,5,PU,,2010,7573,0,0,2,0,01,2015
1,AL,2304,5,QR,,2010,86711,0,0,1,0,01,2015
1,AL,2304,5,QT,,2010,845511,0,0,1,0,01,2015
1,AL,2304,5,QT,,2010,117193,0,0,2,0,01,2015
1,AL,2304,5,SI,,2010,1969531,0,0,1,0,01,2015
1,AL,2304,5,SL,,2010,2507670,0,0,1,0,01,2015
1,AL,2304,5,SL,,2010,91567,0,0,2,0,01,2015
1,AL,2304,5,TL,,2010,49401,0,0,1,0,01,2015
1,AL,2304,5,TM,,2010,520777,0,0,1,0,01,2015
1,AL,2304,5,VE,,2010,12709,0,0,1,0,01,2015
1,AL,2304,5,ZA,,2010,28593,0,0,1,0,01,2015
1,AL,2304,6,AG,,2010,494337,0,0,1,0,01,2015
1,AL,2304,6,CO,,2010,3892353,0,0,1,0,01,2015
1,AL,2304,6,CO,,2010,541631,0,0,1,1,01,2015
1,AL,2304,6,DF,,2010,860247,0,0,1,0,01,2015
1,AL,2304,6,DF,,2010,42417,0,0,1,1,01,2015
1,AL,2304,6,DG,,2010,20800,0,0,1,0,01,2015
1,AL,2304,6,GT,,2010,300510,0,0,1,0,01,2015
1,AL,2304,6,HG,,2010,630878,0,0,1,0,01,2015
1,AL,2304,6,HG,,2010,3036391,0,0,1,1,01,2015
1,AL,2304,6,JA,,2010,314060,0,0,1,0,01,2015
1,AL,2304,6,JA,,2010,32437,0,0,1,1,01,2015
1,AL,2304,6,JA,,2010,27897,0,0,2,1,01,2015
1,AL,2304,6,MX,,2010,7665489,0,0,1,0,01,2015
1,AL,2304,6,NL,,2010,3565270,0,0,1,0,01,2015
1,AL,2304,6,NL,,2010,108330,0,0,1,1,01,2015
1,AL,2304,6,NL,,2010,14534,0,0,2,0,01,2015
1,AL,2304,6,PU,,2010,97907,0,0,1,0,01,2015
1,AL,2304,6,QT,,2010,3147959,0,0,1,0,01,2015
1,AL,2304,6,QT,,2010,117842,0,0,2,0,01,2015
1,AL,2304,6,SL,,2010,3811614,0,0,1,0,01,2015
1,AL,2304,6,TL,,2010,75125,0,0,1,1,01,2015
1,AL,2304,8,DF,,2010,26403,0,0,2,X,01,2015
1,AL,2304,8,MX,,2010,57890,0,0,1,X,01,2015
1,AL,2305,5,BC,,2010,6521,0,0,1,0,01,2015
1,AL,2305,5,JA,,2010,180563,0,0,1,0,01,2015
1,AL,2305,5,MX,,2010,9725,0,0,1,0,01,2015
1,AL,2305,5,NL,,2010,67111,0,0,1,0,01,2015
1,AL,2305,5,TB,,2010,7852,0,0,2,0,01,2015
1,AL,2305,5,TM,,2010,9825244,0,0,1,0,01,2015
1,AL,2305,5,TM,,2010,5821669,0,0,2,0,01,2015
1,AL,2305,5,VE,,2010,9372,0,0,1,0,01,2015
1,AL,2305,8,BC,,2010,9200,0,0,1,X,01,2015
1,AL,2305,8,MX,,2010,123500,0,0,1,X,01,2015
