TRDTYPE,USASTATE,COMMODITY2,DISAGMOT,MEXSTATE,CANPROV,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,CONTCODE,MONTH,YEAR
1,AK,02,5,SO,,2010,57200,0,0,1,0,01,2015
1,AK,03,3,,XC,1220,64983,3425,1274,1,X,01,2015
1,AK,03,5,,XC,1220,613578,0,14637,1,X,01,2015
1,AK,05,5,,XC,1220,8317,0,337,1,X,01,2015
1,AK,08,5,,XO,1220,105984,0,715,2,X,01,2015
1,AK,15,1,XX,,2010,161590,116280,0,1,0,01,2015
1,AK,23,5,,XC,1220,6142,0,120,1,X,01,2015
1,AK,26,1,,XC,1220,14536657,1686386,82492,1,X,01,2015
1,AK,27,5,,XC,1220,3698735,0,353005,1,X,01,2015
1,AK,27,5,,XY,1220,1678502,0,117041,1,X,01,2015
1,AK,39,5,,XO,1220,10668,0,127,1,X,01,2015
1,AK,39,5,DF,,2010,140733,0,0,2,0,01,2015
1,AK,39,5,SO,,2010,5400,0,0,1,0,01,2015
1,AK,40,3,,XQ,1220,3330,4,65,1,X,01,2015
1,AK,48,5,SO,,2010,16828,0,0,1,0,01,2015
1,AK,63,3,,XO,1220,2851,57,82,1,X,01,2015
1,AK,63,5,,XM,1220,8290,0,162,2,X,01,2015
1,AK,71,3,,XO,1220,117449,23,409,1,X,01,2015
1,AK,72,5,,XC,1220,4647,0,115,1,X,01,2015
1,AK,72,5,SO,,2010,14523,0,0,1,0,01,2015
1,AK,73,3,,XQ,1220,3806,19,97,1,X,01,2015
1,AK,73,5,,XY,1220,13856,0,370,1,X,01,2015
1,AK,73,5,SL,,2010,74311,0,0,1,0,01,2015
1,AK,76,5,,XC,1220,93836,0,786,1,X,01,2015
1,AK,76,5,MX,,2010,22320,0,0,1,0,01,2015
1,AK,82,5,MX,,2010,5725,0,0,1,0,01,2015
1,AK,84,3,,XA,1220,15861,490,1318,1,X,01,2015
1,AK,84,3,,XA,1220,4879,10,82,2,X,01,2015
1,AK,84,3,,XC,1220,14593,255,305,1,X,01,2015
1,AK,84,3,,XO,1220,7606,30,48,1,X,01,2015
1,AK,84,5,,XC,1220,9121,0,412,1,X,01,2015
1,AK,84,5,,XC,1220,10913,0,269,2,X,01,2015
1,AK,84,5,,XO,1220,163806,0,5066,1,X,01,2015
1,AK,84,5,,XQ,1220,96892,0,960,1,X,01,2015
1,AK,84,5,,XY,1220,104185,0,1750,1,X,01,2015
1,AK,84,5,,XY,1220,14136,0,420,2,X,01,2015
1,AK,84,5,MX,,2010,4850,0,0,1,0,01,2015
1,AK,84,5,SL,,2010,5942,0,0,2,0,01,2015
1,AK,84,5,TM,,2010,5352,0,0,1,0,01,2015
1,AK,85,3,,XC,1220,29258,79,611,1,X,01,2015
1,AK,85,3,,XM,1220,2751,22,52,1,X,01,2015
1,AK,85,3,,XQ,1220,2964,29,30,1,X,01,2015
1,AK,85,3,XX,,2010,3130,57,0,2,0,01,2015
1,AK,85,5,,XC,1220,21085,0,1692,1,X,01,2015
1,AK,85,5,,XO,1220,127060,0,37,1,X,01,2015
1,AK,85,5,DF,,2010,438093,0,0,2,0,01,2015
1,AK,85,5,SL,,2010,20894,0,0,1,0,01,2015
1,AK,87,3,,XQ,1220,2688,17,119,1,X,01,2015
1,AK,87,3,,XQ,1220,5778,142,136,2,X,01,2015
1,AK,87,5,,XC,1220,24391,0,466,1,X,01,2015
1,AK,87,5,,XO,1220,4532,0,89,1,X,01,2015
1,AK,87,5,,XY,1220,3736,0,95,1,X,01,2015
1,AK,87,5,,XY,1220,11126,0,179,2,X,01,2015
1,AK,87,5,SL,,2010,684358,0,0,1,0,01,2015
1,AK,87,5,SL,,2010,39675,0,0,2,0,01,2015
1,AK,87,8,,XC,1220,2925,0,23,1,X,01,2015
