TRDTYPE,DEPE,COMMODITY2,DISAGMOT,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,CONTCODE,MONTH,YEAR
1,0101,42,5,1220,26488,0,645,2,X,01,2015
1,0101,44,5,1220,121841,0,108,1,X,01,2015
1,0101,48,5,1220,41449,0,812,1,X,01,2015
1,0101,63,5,1220,14509,0,61,1,X,01,2015
1,0101,72,6,1220,427549,0,14290,1,X,01,2015
1,0101,84,5,1220,8813,0,218,2,X,01,2015
1,0101,85,5,1220,5755,0,650,1,X,01,2015
1,0101,90,5,1220,303050,0,7370,1,X,01,2015
1,0101,95,5,1220,2960,0,69,2,X,01,2015
1,0102,27,8,1220,366290,0,0,1,X,01,2015
1,0102,48,5,1220,77339,0,1515,1,X,01,2015
1,0102,72,6,1220,68742,0,3298,1,X,01,2015
1,0103,03,5,1220,473588,0,10376,1,X,01,2015
1,0103,23,5,1220,12323,0,0,1,X,01,2015
1,0103,44,5,1220,2970,0,74,1,X,01,2015
1,0103,94,5,1220,4525,0,92,1,X,01,2015
1,0103,94,5,1220,2766,0,131,2,X,01,2015
1,0104,08,5,1220,89711,0,1752,1,X,01,2015
1,0104,08,5,1220,54772,0,1184,2,X,01,2015
1,0104,17,5,1220,262640,0,13050,1,X,01,2015
1,0104,19,5,1220,34368,0,673,1,X,01,2015
1,0104,25,5,1220,63722,0,5274,1,X,01,2015
1,0104,29,5,1220,110011,0,5241,1,X,01,2015
1,0104,34,5,1220,24847,0,938,1,X,01,2015
1,0104,35,5,1220,26509,0,3096,1,X,01,2015
1,0104,39,5,1220,177515,0,13845,1,X,01,2015
1,0104,39,5,1220,8036,0,273,2,X,01,2015
1,0104,44,5,1220,17964508,0,510958,1,X,01,2015
1,0104,44,6,1220,6792,0,824,1,X,01,2015
1,0104,47,5,1220,752070,0,30498,1,X,01,2015
1,0104,48,5,1220,2072281,0,82740,1,X,01,2015
1,0104,68,5,1220,41315,0,4249,1,X,01,2015
1,0104,72,5,1220,33971,0,1144,1,X,01,2015
1,0104,72,6,1220,22162,0,301,1,X,01,2015
1,0104,73,5,1220,81472,0,3261,1,X,01,2015
